Employee ID,First Name,Last Name,Department,Position,Hire Date,Office,Country,Employee Status,Termination Date,Reason for Leaving,Employment Type,Date of Birth,Gender,Annual Salary,Performance Reviews
001,Kelsey,Keller,HR,Analyst,2020-04-06,JP,Japan,Active,,,Contractor,1978-05-12,Female,89638,Average
002,Tamara,Jordan,Finance,Executive,2023-07-17,DE,Germany,Active,,,Part-time,1988-05-31,Other,97215,Excellent
003,Kelly,Braun,Sales,Analyst,2020-09-23,HU,South Korea,Terminated,,,Contractor,1979-11-19,Female,99042,Average
004,Wendy,Johnson,HR,Analyst,2019-12-06,KR,Japan,Terminated,,,Part-time,1961-03-08,Other,43284,Poor
005,Daniel,Butler,HR,Manager,2022-11-19,DE,Japan,Active,,,Contractor,1959-11-21,Male,91389,Good
006,Sandy,Wilson,Finance,Analyst,2021-08-18,JP,Hungary,Terminated,2023-03-01,,Contractor,1978-06-27,Male,39435,Excellent
007,Janice,Johnson,Sales,Manager,2022-07-28,HU,South Korea,Terminated,,,Part-time,1984-09-09,Male,84340,Good
008,Kenneth,Martinez,Sales,Analyst,2022-05-20,DE,South Korea,Active,,,Part-time,2001-02-01,Male,74078,Excellent
009,Tammy,Hayes,HR,Analyst,2022-12-14,JP,Germany,Terminated,,,Part-time,1968-09-04,Other,81293,Average
010,Andres,Bryant,Marketing,Manager,2024-03-14,JP,South Korea,Active,,Church civil word.,Full-time,1981-10-21,Female,90403,Excellent
011,Shane,Zavala,HR,Manager,2019-08-19,JP,Germany,Terminated,,,Full-time,1998-09-17,Male,59124,Poor
012,Andrew,Gomez,HR,Analyst,2019-09-20,DE,South Korea,Terminated,,,Full-time,1962-07-06,Female,73919,Poor
013,Kathryn,Salinas,HR,Executive,2019-11-14,DE,Hungary,Active,,,Contractor,1958-07-21,Other,65247,Excellent
014,Kevin,Nicholson,HR,Manager,2020-12-13,DE,South Korea,Active,,,Part-time,1960-10-11,Other,92752,Excellent
015,Brent,Gilbert,Finance,Executive,2020-06-27,KR,Germany,Active,,,Contractor,1972-02-15,Other,86573,Excellent
016,Colleen,Mathis,Sales,Executive,2019-11-23,DE,Germany,Active,,,Full-time,1976-01-14,Male,89101,Excellent
017,Jennifer,Baker,Finance,Executive,2022-03-17,DE,Hungary,Terminated,,Better wife list join leader today.,Part-time,1986-11-27,Female,56646,Poor
018,Alisha,Farrell,Finance,Manager,2019-04-19,DE,South Korea,Terminated,,,Contractor,1978-05-08,Female,53049,Good
019,Bonnie,Yates,Finance,Executive,2024-03-20,KR,South Korea,Active,2024-03-21,Head quality degree.,Part-time,1984-10-26,Female,98385,Excellent
